YEAR,MVP,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1987,0,Eddie Johnson,73,29.8,17.7,7.3,15.2,48,0.3,1.3,25.5,2.8,3.3,85,1.7,2.7,4.4,2.5,0.5,0.1,1.9,14.8
1987,0,Gerald Wilkins,81,33.4,17.4,7.3,16.3,44.6,0.5,1.6,30.2,2.4,3,78.6,1.3,2,3.3,4,1.1,0.3,2.6,13.9
1987,0,Walter Berry,73,26.3,17.4,7.4,13.2,56.3,0,0,0,2.6,4.4,60,2.4,3,5.4,1.5,0.8,0.9,2.2,16.2
1987,0,Derek Harper,82,37,17,6.5,14.2,45.9,0.7,2.3,31.3,3.2,4.2,75.9,0.9,2.1,3,7.7,2,0.4,2.3,19.2
1987,0,Chuck Person,79,35.5,17,7.3,15.8,45.9,0.7,2.2,33.3,1.7,2.5,67,2.2,4.6,6.8,3.9,0.9,0.1,2.7,16.6
1987,0,Mike Gminski,81,36.6,16.9,6.2,13.9,44.8,0,0,0,4.4,4.8,90.6,3,7,10,1.7,0.8,1.5,2.2,20.6
1987,0,Jack Sikma,82,35.6,16.5,6.3,12.9,48.6,0,0.2,21.4,3.9,4.2,92.2,2.4,6.3,8.6,3.4,1.1,1,1.9,21.8
1987,0,Wayman Tisdale,79,30.1,16.1,6.5,12.6,51.2,0,0,0,3.1,4,78.3,2.1,4.1,6.2,1.3,0.7,0.4,1.8,15.8
1987,0,Mark Price,80,32.8,16,6.2,12.2,50.6,0.9,1.9,48.6,2.8,3.2,87.7,0.7,1.6,2.3,6,1.2,0.2,2.3,16.9
1987,0,Frank Brickowski,70,31.8,16,6.1,11.5,52.8,0,0.1,20,3.8,5,76.8,2.4,4.5,6.9,3.8,1.1,0.5,3,18.7
1987,0,Kevin Duckworth,78,28.5,15.8,5.8,11.6,49.6,0,0,0,4.2,5.5,77,2.9,4.5,7.4,0.8,0.4,0.4,2.3,15.4
1987,0,Danny Ainge,81,37.3,15.7,6,12.1,49.1,1.8,4.4,41.5,2,2.2,87.8,0.7,2.3,3.1,6.2,1.4,0.2,1.9,18.3
1987,0,Jay Vincent,73,24,15.4,6.1,13.1,46.6,0,0.1,25,3.2,3.9,80.5,1.1,3.1,4.2,2,0.6,0.4,1.9,12.9
